1,2,3,4,5,6,7,8,9
0.290000,-0.510000,-10.340000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.290000,-0.510000,-10.340000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.290000,-0.510000,-10.340000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.290000,-0.510000,-10.340000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.290000,-0.510000,-10.340000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.290000,-0.510000,-10.340000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.490000,-10.360000,0.000000,0.000000,0.000000,-0.360000,-58.070000,80.520000
0.300000,-0.510000,-10.340000,0.000000,0.000000,0.010000,-0.360000,-58.070000,80.520000
0.300000,-0.510000,-10.340000,0.000000,0.000000,0.010000,-0.360000,-58.070000,80.520000
0.300000,-0.510000,-10.340000,0.000000,0.000000,0.010000,-0.360000,-58.070000,80.520000
0.300000,-0.510000,-10.340000,0.000000,0.000000,0.010000,-0.360000,-58.070000,80.520000
