1,2,3,4,5,6,7,8,9
-9.570000,-0.020000,0.000000,-0.020000,-0.040000,-0.030000,1.960000,23.480000,19.520000
-9.600000,-0.110000,0.000000,-0.030000,-0.010000,-0.030000,0.710000,23.660000,19.010000
-9.500000,-0.220000,-0.010000,-0.040000,0.020000,-0.020000,1.420000,24.020000,19.350000
-9.580000,-0.310000,-0.070000,-0.050000,0.050000,-0.010000,1.420000,24.020000,19.350000
-9.580000,-0.410000,-0.190000,-0.050000,0.060000,0.000000,1.420000,24.020000,19.350000
-9.600000,-0.380000,-0.320000,-0.050000,0.070000,0.000000,3.200000,25.090000,19.350000
-9.700000,-0.250000,-0.250000,-0.040000,0.090000,0.000000,1.420000,21.870000,20.040000
-9.790000,-0.200000,-0.190000,-0.030000,0.090000,0.010000,3.380000,22.400000,19.180000
-9.860000,-0.230000,-0.190000,-0.040000,0.080000,0.010000,0.890000,23.480000,19.870000
-9.840000,-0.300000,-0.210000,-0.040000,0.070000,0.010000,2.670000,23.840000,20.220000
-9.870000,-0.340000,-0.310000,-0.050000,0.050000,0.010000,1.960000,22.760000,20.560000
-9.860000,-0.340000,-0.330000,-0.050000,0.030000,0.020000,0.890000,23.840000,20.560000
-9.790000,-0.300000,-0.400000,-0.040000,0.010000,0.020000,1.420000,22.580000,20.390000
-9.800000,-0.300000,-0.460000,-0.030000,0.010000,0.020000,0.890000,23.480000,20.560000
-9.680000,-0.270000,-0.310000,-0.020000,0.010000,0.010000,2.490000,22.220000,20.390000
-9.710000,-0.220000,-0.100000,-0.020000,0.030000,0.000000,1.600000,23.120000,19.520000
-9.680000,-0.080000,0.040000,-0.030000,0.040000,0.000000,0.710000,21.870000,20.390000
-9.790000,0.000000,-0.070000,-0.050000,0.050000,0.000000,1.960000,23.480000,20.560000
-9.820000,-0.070000,-0.150000,-0.060000,0.030000,0.010000,1.960000,23.480000,20.560000
-9.750000,-0.230000,-0.280000,-0.070000,0.020000,0.020000,1.960000,23.480000,20.560000
-9.770000,-0.310000,-0.480000,-0.070000,0.010000,0.020000,1.070000,22.580000,20.040000
-9.700000,-0.340000,-0.460000,-0.060000,0.010000,0.020000,2.490000,21.510000,20.390000
-9.700000,-0.260000,-0.420000,-0.060000,0.000000,0.020000,1.780000,25.090000,21.080000
-9.730000,-0.270000,-0.350000,-0.070000,-0.010000,0.030000,0.710000,23.300000,20.730000
-9.760000,-0.240000,-0.290000,-0.070000,-0.020000,0.040000,3.380000,23.840000,20.560000
-9.750000,-0.200000,-0.310000,-0.070000,-0.030000,0.040000,2.140000,22.220000,21.080000
-9.740000,-0.160000,-0.280000,-0.070000,-0.020000,0.040000,2.490000,24.370000,19.700000
-9.740000,-0.090000,-0.390000,-0.070000,-0.020000,0.030000,2.310000,23.480000,20.560000
