1,2,3,4,5,6,7,8,9
-0.390000,0.050000,9.560000,-0.010000,0.020000,0.080000,16.200000,-0.180000,10.540000
-0.560000,0.080000,9.610000,-0.010000,0.020000,0.080000,14.600000,0.000000,10.020000
-0.660000,0.050000,9.520000,-0.010000,0.010000,0.070000,15.850000,-0.180000,10.540000
-0.620000,-0.010000,9.540000,-0.010000,0.000000,0.070000,13.890000,0.720000,10.710000
-0.490000,-0.020000,9.630000,-0.010000,0.000000,0.070000,15.670000,0.000000,10.370000
-0.410000,-0.020000,9.590000,-0.020000,0.000000,0.070000,14.240000,0.000000,10.710000
-0.390000,0.000000,9.600000,-0.020000,0.000000,0.070000,14.780000,0.180000,10.540000
-0.440000,-0.020000,9.560000,-0.020000,0.010000,0.080000,13.350000,-0.540000,10.190000
-0.330000,0.000000,9.470000,-0.020000,0.010000,0.080000,15.850000,-1.970000,8.120000
-0.340000,-0.070000,9.470000,-0.020000,0.020000,0.090000,15.850000,-1.970000,8.120000
-0.460000,-0.060000,9.430000,-0.020000,0.020000,0.100000,15.850000,-1.970000,8.120000
-0.520000,-0.140000,9.410000,-0.020000,0.010000,0.100000,15.490000,-0.540000,9.500000
-0.680000,-0.160000,9.450000,-0.010000,0.000000,0.110000,14.240000,-1.080000,10.370000
-0.760000,-0.200000,9.430000,-0.010000,-0.010000,0.100000,14.960000,-1.430000,9.680000
-0.750000,-0.160000,9.370000,0.000000,-0.030000,0.100000,15.130000,-0.180000,9.500000
-0.730000,-0.110000,9.430000,0.000000,-0.040000,0.100000,14.780000,0.900000,10.540000
-0.630000,-0.120000,9.480000,0.010000,-0.050000,0.100000,14.780000,-1.250000,11.230000
-0.560000,-0.080000,9.520000,0.010000,-0.060000,0.100000,16.200000,-1.250000,11.920000
-0.440000,-0.080000,9.500000,0.020000,-0.070000,0.110000,16.200000,-0.540000,10.890000
-0.380000,-0.050000,9.540000,0.020000,-0.070000,0.110000,14.960000,0.000000,9.330000
-0.280000,-0.080000,9.440000,0.020000,-0.070000,0.120000,15.130000,-0.900000,11.230000
-0.350000,0.010000,9.470000,0.020000,-0.060000,0.140000,14.960000,0.000000,8.640000
-0.410000,0.090000,9.500000,0.020000,-0.060000,0.140000,14.600000,0.000000,11.400000
-0.400000,0.110000,9.510000,0.020000,-0.070000,0.140000,15.850000,-1.250000,10.190000
-0.370000,0.190000,9.570000,0.020000,-0.070000,0.150000,15.850000,-1.250000,10.190000
-0.300000,0.200000,9.520000,0.010000,-0.070000,0.140000,15.850000,-1.250000,10.190000
-0.230000,0.200000,9.560000,0.010000,-0.070000,0.150000,16.020000,-1.080000,10.710000
-0.050000,0.220000,9.600000,0.010000,-0.060000,0.150000,16.020000,-1.430000,11.750000
-0.030000,0.160000,9.560000,0.010000,-0.050000,0.160000,15.850000,0.180000,10.540000
-0.110000,0.120000,9.620000,0.000000,-0.030000,0.170000,14.600000,-0.360000,10.710000
-0.160000,0.070000,9.520000,0.000000,-0.020000,0.180000,15.850000,-0.180000,10.540000
-0.190000,0.110000,9.440000,0.000000,-0.010000,0.190000,15.490000,-1.970000,9.500000
-0.230000,0.090000,9.510000,0.010000,0.000000,0.190000,14.600000,0.360000,8.290000
-0.230000,0.060000,9.440000,0.000000,0.000000,0.190000,15.850000,-2.330000,9.160000
-0.200000,0.050000,9.420000,0.010000,0.000000,0.190000,14.600000,-1.080000,9.330000
-0.250000,0.060000,9.520000,0.010000,0.010000,0.200000,15.850000,-2.690000,9.500000
-0.370000,0.000000,9.560000,0.010000,0.020000,0.200000,15.670000,-2.510000,11.060000
-0.360000,-0.020000,9.520000,0.010000,0.020000,0.210000,15.490000,-0.900000,9.160000
-0.390000,-0.060000,9.470000,0.010000,0.020000,0.210000,15.850000,-2.330000,9.850000
-0.370000,-0.090000,9.430000,0.010000,0.020000,0.210000,15.850000,-2.330000,9.850000
-0.440000,-0.110000,9.490000,0.020000,0.020000,0.220000,15.850000,-2.330000,9.850000
-0.420000,-0.120000,9.440000,0.020000,0.010000,0.220000,15.130000,-1.610000,10.190000
-0.450000,-0.110000,9.400000,0.020000,0.010000,0.220000,15.670000,-1.430000,9.680000
-0.370000,-0.100000,9.390000,0.030000,0.000000,0.230000,15.310000,-3.230000,10.020000
-0.400000,-0.130000,9.430000,0.030000,0.000000,0.230000,15.130000,-2.690000,9.160000
-0.400000,-0.120000,9.430000,0.030000,0.000000,0.230000,16.380000,-1.790000,10.710000
-0.510000,-0.130000,9.400000,0.030000,0.000000,0.230000,14.420000,-2.330000,10.190000
-0.530000,-0.130000,9.500000,0.030000,-0.010000,0.230000,15.670000,-1.430000,11.060000
-0.470000,-0.120000,9.460000,0.040000,-0.020000,0.230000,16.740000,-2.870000,10.370000
-0.430000,-0.110000,9.500000,0.040000,-0.020000,0.220000,16.020000,-1.790000,9.330000
-0.380000,-0.060000,9.420000,0.040000,-0.020000,0.230000,15.850000,-1.970000,9.160000
-0.360000,-0.100000,9.500000,0.050000,-0.010000,0.220000,16.020000,-1.430000,9.330000
-0.340000,-0.030000,9.510000,0.040000,-0.010000,0.230000,15.130000,-2.690000,10.540000
-0.340000,0.030000,9.520000,0.040000,-0.010000,0.230000,16.200000,-1.970000,9.850000
-0.360000,0.010000,9.580000,0.040000,-0.010000,0.220000,16.200000,-1.970000,9.850000
-0.400000,0.010000,9.520000,0.030000,-0.010000,0.220000,16.200000,-1.970000,9.850000
-0.320000,-0.020000,9.620000,0.030000,0.000000,0.210000,15.670000,-3.580000,11.400000
-0.330000,0.000000,9.560000,0.030000,0.000000,0.210000,15.310000,-2.150000,11.060000
-0.270000,-0.060000,9.560000,0.030000,0.000000,0.200000,15.670000,-1.790000,8.640000
-0.230000,-0.070000,9.520000,0.030000,0.010000,0.200000,14.420000,-2.690000,9.500000
-0.200000,-0.110000,9.570000,0.020000,0.020000,0.200000,13.710000,-2.690000,7.780000
-0.210000,-0.090000,9.560000,0.020000,0.030000,0.200000,16.740000,-3.940000,10.710000
-0.340000,-0.120000,9.540000,0.020000,0.040000,0.200000,16.380000,-1.790000,10.370000
-0.390000,-0.070000,9.620000,0.020000,0.040000,0.200000,16.380000,-3.230000,8.640000
